player_id,name,season,age,team_id,pos,games,minutes_played,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,obpm,dbpm,bpm,uni_url
meyers-leonard-1,Meyers Leonard,2020-21,22,POR,C,55,847,14.8,.631,.457,.131,5.9,25.3,15.8,5.8,0.6,1.2,13.1,15.8,1.6,1.2,2.8,0.1,0.5,0.6,https://www.sports-reference.com/cbb/players/meyers-leonard-1.html
jeremy-lamb-1,Jeremy Lamb,2020-21,22,OKC,SG,47,633,14.9,.538,.444,.220,1.4,16.5,9.1,10.9,1.7,0.7,9.0,20.5,1.0,0.7,1.6,0.9,0.8,1.6,https://www.sports-reference.com/cbb/players/jeremy-lamb-1.html
kendall-marshall-1,Kendall Marshall,2020-21,23,MIL,PG,28,417,12.4,.562,.455,.089,0.6,7.1,3.8,31.1,2.6,0.0,25.0,15.1,0.3,0.5,0.8,-0.7,-0.1,-0.8,https://www.sports-reference.com/cbb/players/kendall-marshall-1.html
john-henson-1,John Henson,2020-21,24,MIL,C,67,1228,18.0,.578,.000,.396,11.7,17.4,14.5,7.8,1.2,9.3,17.6,18.1,1.3,2.4,3.6,-1.5,2.2,0.7,https://www.sports-reference.com/cbb/players/john-henson-1.html
maurice-harkless-1,Maurice Harkless,2020-21,21,ORL,SF,45,674,8.4,.449,.354,.259,6.3,11.6,8.9,5.4,2.4,1.1,13.3,13.7,-0.3,0.6,0.3,-3.8,0.2,-3.6,https://www.sports-reference.com/cbb/players/maurice-harkless-1.html
tyler-zeller-1,Tyler Zeller,2020-21,25,BOS,C,82,1731,18.9,.594,.000,.300,9.1,20.5,14.7,10.8,0.5,2.3,9.8,19.6,4.5,2.0,6.5,1.0,0.0,0.9,https://www.sports-reference.com/cbb/players/tyler-zeller-1.html
terrence-jones-1,Terrence Jones,2020-21,23,HOU,PF,33,889,18.3,.567,.124,.314,9.7,17.6,13.7,6.9,1.0,5.2,9.8,18.4,1.7,1.3,3.0,0.7,0.5,1.2,https://www.sports-reference.com/cbb/players/terrence-jones-1.html
andrew-nicholson-1,Andrew Nicholson,2020-21,25,ORL,PF,40,492,10.3,.483,.216,.132,3.8,15.2,9.4,7.3,0.6,2.0,10.7,20.8,-0.2,0.3,0.1,-3.4,-1.6,-4.9,https://www.sports-reference.com/cbb/players/andrew-nicholson-1.html
jared-sullinger-1,Jared Sullinger,2020-21,22,BOS,PF,58,1566,17.9,.503,.260,.182,10.1,20.9,15.4,14.2,1.4,2.1,9.3,23.6,1.9,2.1,4.0,1.3,-0.2,1.1,https://www.sports-reference.com/cbb/players/jared-sullinger-1.html
john-jenkins-1,John Jenkins,2020-21,23,ATL,SG,24,297,15.9,.629,.525,.192,0.8,13.8,7.5,7.0,1.7,0.0,6.9,17.8,0.6,0.3,0.9,0.8,-0.5,0.3,https://www.sports-reference.com/cbb/players/john-jenkins-1.html
