player,pick rank,year,college,url,height (cm),weight (lb),uni_url,player_id
Jerami Grant,39,2014,Syracuse,https://www.basketball-reference.com//players/g/grantje01.html,203.2,210,https://www.sports-reference.com/cbb/players/jerami-grant-1.html,jerami-grant-1
Glenn Robinson III,40,2014,Michigan,https://www.basketball-reference.com//players/r/robingl02.html,198.1,222,https://www.sports-reference.com/cbb/players/glenn-robinson-2.html,glenn-robinson-2
Nikola Jokić,41,2014,,https://www.basketball-reference.com//players/j/jokicni01.html,210.8,284,,
Nick Johnson,42,2014,Arizona,https://www.basketball-reference.com//players/j/johnsni01.html,190.5,202,https://www.sports-reference.com/cbb/players/nick-johnson-1.html,nick-johnson-1
Edy Tavares,43,2014,,https://www.basketball-reference.com//players/t/tavarwa01.html,221.0,260,,
Markel Brown,44,2014,Oklahoma State,https://www.basketball-reference.com//players/b/brownma02.html,190.5,190,https://www.sports-reference.com/cbb/players/markel-brown-1.html,markel-brown-1
Dwight Powell,45,2014,Stanford,https://www.basketball-reference.com//players/p/poweldw01.html,208.3,240,https://www.sports-reference.com/cbb/players/dwight-powell-1.html,dwight-powell-1
Jordan Clarkson,46,2014,Missouri,https://www.basketball-reference.com//players/c/clarkjo01.html,193.0,194,https://www.sports-reference.com/cbb/players/jordan-clarkson-1.html,jordan-clarkson-1
Russ Smith,47,2014,Louisville,https://www.basketball-reference.com//players/s/smithru01.html,182.9,165,https://www.sports-reference.com/cbb/players/russ-smith-1.html,russ-smith-1
Lamar Patterson,48,2014,Pitt,https://www.basketball-reference.com//players/p/pattela01.html,195.6,225,https://www.sports-reference.com/cbb/players/lamar-patterson-1.html,lamar-patterson-1
Cameron Bairstow,49,2014,New Mexico,https://www.basketball-reference.com//players/b/bairsca01.html,205.7,250,https://www.sports-reference.com/cbb/players/cameron-bairstow-1.html,cameron-bairstow-1
Alec Brown,50,2014,Green Bay,https://www.basketball-reference.com//players/b/brownal01.html,215.9,235,https://www.sports-reference.com/cbb/players/alec-brown-1.html,alec-brown-1
