position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,player_id
SG,5.0,210,229,1918,1943,2477,200.6,1981,donte-divincenzo-1
SG,5.65,229,241,1924,1943,2527,196.2,2089,lonnie-walker-2
SG,8.6,210,216,1988,2013,2578,194.0,2019,kevin-huerter-1
SG,5.2,229,248,1905,1943,2591,210.8,2134,josh-okogie-1
SG,5.55,210,254,1905,1943,2464,198.0,2013,grayson-allen-1
PG,6.4,222,216,1822,1848,2464,187.0,2019,aaron-holiday-1
C,6.75,229,273,2096,2121,2743,241.4,2134,moritz-wagner-1
PG,4.85,203,229,1930,1962,2540,188.6,2000,landry-shamet-1
SG,6.5,229,235,1937,1968,2604,199.6,2064,jacob-evans-1
PF,13.75,229,229,2032,2064,2731,253.8,2184,omari-spellman-1
PG,4.15,235,216,1835,1867,2413,196.2,1937,jevon-carter-1
PG,6.7,210,235,1854,1886,2438,198.4,1930,jalen-brunson-1
PG,4.8,216,241,1835,1867,2438,186.4,1988,devonte-graham-1
SF,7.9,241,241,1943,1981,2667,198.2,2178,melvin-frazier-1
SG,6.4,222,235,1892,1924,2565,198.8,2096,khyri-thomas-1
SG,3.75,216,216,1918,1956,2502,194.6,2057,bruce-brown-2
SG,4.45,222,229,1937,1981,2616,197.0,2121,hamidou-diallo-1
SG,5.2,216,241,1886,1911,2527,193.2,2045,deanthony-melton-1
SG,8.45,210,241,1994,2026,2540,211.6,1949,sviatoslav-mykhailiuk-1
SG,5.35,229,216,2013,2045,2705,223.8,2216,keita-bates-diop-1
PF,5.05,229,235,2045,2070,2743,219.6,2146,chimezie-metu-1
PF,8.1,216,248,2013,2032,2616,216.6,2051,alize-johnson-1
PG,6.5,216,248,1905,1943,2540,198.8,2038,tony-carr-1
SG,8.45,216,254,1937,1981,2591,206.4,2026,devon-hall-1
SG,6.8,222,241,1943,1968,2527,207.2,2153,malik-milton-1
PF,5.55,235,229,2057,2089,2769,215.4,2254,raymond-spalding-1
PF,5.15,235,260,1994,2026,2718,211.6,2222,kevin-hervey-1
PF,10.9,229,267,2121,2146,2781,254.0,2134,thomas-welsh-1
