player_name,season,school_name,conf_abbr,g,gs,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_40,obpm,dbpm,bpm,years,year,position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,"('Alex Len', 'weight')","('Markelle Fultz', 'weight')"
Cory Jefferson,2013-14,Baylor,Big 12,38,38,1103,23.8,0.553,0.519,0.103,0.582,487.0,11.6,21.0,16.4,7.4,0.8,4.7,9.8,24.2,3.3,1.6,4.9,0.179,4.9,1.4,6.3,4,2014-15,PF,5.25,222,248,2026,2057,2667,218.4,2146,0,0
Karl-Anthony Towns,2014-15,Kentucky,SEC,39,39,822,31.4,0.627,0.57,0.031,0.523,391.0,14.2,22.3,18.5,11.6,1.4,11.5,14.2,23.7,3.5,2.9,6.4,0.311,6.6,7.6,14.3,1,,C,,0,0,0,0,0,nan,0,0,0
D'Angelo Russell,2014-15,Ohio State,Big Ten,35,34,1188,26.6,0.573,0.541,0.449,0.303,671.0,3.6,15.4,9.8,30.1,2.8,1.1,14.8,30.2,4.4,2.4,6.8,0.229,8.6,3.3,11.9,1,2015-16,PG,8.30,222,248,1911,1956,2591,193.4,2076,0,0
Jahlil Okafor,2014-15,Duke,ACC,38,38,1143,30.7,0.641,0.664,0.0,0.462,609.0,14.8,18.2,16.6,9.4,1.5,4.5,15.6,27.6,4.5,2.2,6.7,0.235,7.7,2.7,10.4,1,,C,,0,0,0,0,0,nan,0,0,0
Willie Cauley-Stein,2014-15,Kentucky,SEC,39,38,1012,23.8,0.588,0.572,0.0,0.542,344.0,11.1,17.3,14.5,7.4,2.9,7.1,13.9,17.8,2.6,3.4,6.0,0.239,5.4,7.1,12.6,3,2015-16,C,6.30,241,229,2115,2146,2819,242.4,2210,0,0
Stanley Johnson,2014-15,Arizona,Pac-12,38,37,1081,22.5,0.551,0.501,0.297,0.456,509.0,8.9,19.1,14.1,11.6,3.2,1.6,14.7,26.6,2.8,2.9,5.7,0.212,5.0,4.4,9.4,1,2015-16,SF,7.50,229,229,1956,1994,2591,241.8,2121,0,0
Frank Kaminsky,2014-15,Wisconsin,Big Ten,39,39,1311,34.4,0.628,0.59,0.207,0.41,691.0,6.0,25.7,16.1,18.4,1.7,4.5,9.8,28.6,6.9,2.9,9.8,0.299,11.2,5.0,16.2,4,2015-16,C,9.40,216,241,2127,2153,2781,231.2,2108,0,0
Justise Winslow,2014-15,Duke,ACC,39,39,1135,22.3,0.572,0.551,0.309,0.438,473.0,5.4,19.8,13.1,13.2,2.8,2.9,14.2,22.9,3.1,2.5,5.5,0.196,5.3,4.6,10.0,1,2015-16,SF,5.30,216,235,1943,1994,2654,221.8,2089,0,0
Myles Turner,2014-15,Texas,Big 12,34,7,755,25.5,0.556,0.488,0.241,0.436,310.0,7.2,24.9,16.7,6.2,0.8,12.3,13.2,25.1,1.9,2.1,4.0,0.213,3.4,6.0,9.3,1,2015-16,C,9.30,235,235,2076,2121,2845,238.6,2235,0,0
Trey Lyles,2014-15,Kentucky,SEC,36,21,828,19.8,0.543,0.496,0.121,0.425,308.0,9.9,16.1,13.3,9.2,1.4,2.1,12.4,20.8,2.1,2.3,4.4,0.213,3.9,4.1,8.0,1,2015-16,PF,12.10,235,260,2057,2089,2743,241.2,2172,0,0
Devin Booker,2014-15,Kentucky,SEC,38,0,816,19.4,0.6,0.571,0.491,0.223,324.0,2.6,7.8,5.4,10.9,1.3,0.3,10.4,22.8,2.7,1.8,4.5,0.219,6.1,3.3,9.4,1,2015-16,SG,8.30,222,229,1943,1975,2604,205.8,2038,0,0
